𝠃𝤐𝤎񅳁𝣼𝣿	¿a
𝠀񀀁񆖡񎟁񋵡𝠃𝤘𝤱񎟁𝣴𝣯񀀁𝣸𝤓񆖡𝣙𝤚񋵡𝤁𝤇񈘂𝣷𝣡	¿lust
𝠀񀀁񀀉񆕁񆕁񇆥񇆵񋻥񀉉񀉁񌞁𝠃𝤣𝥦񆕁𝣲𝤫񌞁𝣴𝣵񀀉𝣱𝤊񆕁𝤐𝤡񇆥𝤊𝤯񇆵𝣬𝤹񀀁𝤎𝤀񋻥𝤉𝥠񀉁𝤍𝥁񀉉𝣯𝥊	¿cry
𝠀񀀁񀀩񆙡񋎩񋎽񂈁񂈉񆿅񆿕񋸥𝠃𝤨𝥇񆙡𝣪𝣟񀀁𝤅𝣕񀀩𝣿𝣚񋎽𝣥𝣱񋎩𝣦𝣆񂈁𝤚𝤌񂈉𝤁𝤌񆿅𝤛𝤮񆿕𝤀𝤮񋸥𝤍𝥁	¿translator
𝠀񀀁񆇡񈗣񆇡񌞁𝠃𝤚𝤳񈗣𝣽𝤥񌞁𝣴𝣵񆇡𝤐𝤧񆇡𝣱𝤧񀀁𝣿𝤄	¿eyes
𝠀񀀁񆕁񆿅񎟁𝠃𝤙𝥁񎟁𝣴𝣯񆿅𝤌𝤲񆕁𝤌𝤣񀀁𝣸𝤖	¿swallow
𝠀񀀁񆨡񋲡񌁥񌓡𝠃𝤭𝤝񆨡𝤣𝣟񌓡𝣴𝣺񀀁𝤙𝣩񋲡𝤡𝣕񌁥𝣴𝣯	¿I understand well
𝠀񀀁񆨡񋲡񌁥񌓡𝠃𝤭𝤝񆨡𝤣𝣟񌓡𝣴𝣺񀀁𝤙𝣩񋲡𝤡𝣕񌁥𝣴𝣯	¿I got it
𝠀񀀁񀀩񆙡񋐉񋐝𝠃𝤕𝤿񀀁𝤆𝣴񀀩𝣿𝣻񆙡𝣸𝣯񋐉𝤀𝣎񋐝𝣾𝤣	¿translation
𝠀񀀁񆇡񈗥񋾡𝠃𝤘𝤰񋾡𝣴𝣵񀀁𝣹𝤒񈗥𝣣𝤇񆇡𝤋𝤘	¿disappointed
𝠀񀀁񆕁񇆥񆡁񆡁񍘡𝠃𝤧𝤺񆡁𝤜𝤲񍘡𝣴𝣵񆡁𝤐𝤲񆕁𝤔𝤔񇆥𝤎𝤢񀀁𝣹𝤑	¿red
𝠀񀀁񆨡񋲡񍦁𝠃𝤟𝤬񍦁𝣴𝣵񀀁𝣾𝤎񆨡𝤓𝤚񋲡𝤓𝤤	¿throw in mouth
𝠀񀀁񀀉񇑅񇑑񆫡񆫡񋸦𝠃𝤯𝤮񀀁𝤕𝣨񀀉𝣩𝣼񇑑𝣞𝤝񇑅𝤈𝤇񆫡𝤚𝣟񆫡𝣡𝣳񋸦𝤊𝤛	¿popcorn
𝠀񀀁񀊑񈝥𝠃𝤑𝤦񀀁𝤀𝣧񀊑𝣼𝤌	¿100
𝠀񀀁񀊑񈝥𝠃𝤑𝤦񀀁𝤀𝣧񀊑𝣼𝤌	¿one hundred
𝠀񀀁񀊑񈝥𝠃𝤑𝤦񀀁𝤀𝣧񀊑	¿one-hundred
𝠀񀀁񆇡񈙁񍘡𝠃𝤪𝤰񍘡𝣴𝣵񆇡𝤎𝤖񈙁𝤚𝤊񀀁𝣺𝤒	¿I tell you
𝠀񀀁񆨡񌏁𝠃𝤬𝤘񌏁𝣴𝣵񀀁𝤚𝣦񆨡𝤤𝣛	¿realize
𝠀񀀁񆫡𝠃𝤒𝤚񀀁𝣻𝣼񆫡𝤀𝣲	¿11
𝠀񀀁񆫡𝠃𝤒𝤚񀀁𝣻𝣼񆫡𝤀𝣲	¿eleven
𝠀񀀁񈗡񆄡񋾡񋲡𝠃𝤫𝤳񋾡𝣴𝣵񋲡𝤜𝤬񀀁𝣹𝤓񈗡𝤜𝤘񆄡𝤜𝤅	¿curse
𝠀񀀁񉌇񀭁𝠃𝤦𝤚񀀁𝣦𝣲񀭁𝤏𝣲񉌇𝣶𝤎	¿one to three
𝠀񀀁񋎩񈙁񋾡𝠃𝤲𝤮񋾡𝣴𝣵񀀁𝣸𝤐񈙁𝤢𝣾񋎩𝤑𝤖	¿order
𝠀񀀁񋎩񈙁񋾡𝠃𝤲𝤮񋾡𝣴𝣵񀀁𝣸𝤐񈙁𝤢𝣾񋎩𝤑𝤖	¿command
𝠀񀀁񆿅񀕁𝠃𝤎𝤯񀀁𝣿𝣞񆿅𝤀𝤀񀕁𝣿𝤑	¿one-half
𝠀񀀁񆿅񀕁𝠃𝤎𝤯񀀁𝣿𝣞񆿅𝤀𝤀񀕁𝣿𝤑	¿½
𝠀񀀁񆿅񀕁𝠃𝤎𝤯񀀁𝣿𝣞񆿅𝤀𝤀񀕁𝣿𝤑	¿half
𝠀񀀁񈗥񀉁𝠃𝤎𝤱񀀁𝣾𝣜񈗥𝣿𝤀񀉁𝣿𝤗	¿you ask me
𝠀񀀁񉶅𝠃𝤓𝤨񀀁𝣿𝣤񉶅𝣺𝤄	¿single
𝠀񀀁񋑡𝠃𝤒𝤥񀀁𝣿𝣨񋑡𝣻𝤈	¿pariah
𝠀񀀁񆫡񌀈𝠃𝤱𝤘񌀈𝣴𝣵񀀁𝤚𝣩񆫡𝤟𝣟	¿understand
𝠀񀀁񆿅񀭁𝠃𝤒𝤰񀀁𝣽𝣝񀭁𝣻𝤒񆿅𝣾𝤁	¿1/3
𝠀񀀁񆿅񀭁𝠃𝤒𝤰񀀁𝣽𝣝񀭁𝣻𝤒񆿅𝣾𝤁	¿one third
𝠀񀀁񆿅񀭁𝠃𝤒𝤰񀀁𝣽𝣝񀭁𝣻𝤒񆿅𝣾𝤁	¿one-third
𝠀񀀁񈗥񆇡񋾡𝠃𝤘𝤰񋾡𝣴𝣵񀀁𝣹𝤒񈗥𝣣𝤇񆇡𝤋𝤘	¿disappointed
𝠀񀀁񊒡񀁅񆇡񋾡𝠃𝤥𝥮񋾡𝣴𝣵񀀁𝣸𝤒񊒡𝤒𝤓񆇡𝣷𝥣񀁅𝣼𝥀	¿tell-me
𝠀񀀁񋔡񍩁𝠃𝤘𝤱񍩁𝣴𝣵񀀁𝤀𝤑񋔡𝣠𝤖	¿who
𝠀񀀁񆫡񌁦񌏁𝠃𝤯𝤝񌏁𝣴𝣺񀀁𝤘𝣤񆫡𝤝𝣙񌁦𝣴𝣯	¿understand that
𝠀񀀁񆿅񁦁𝠃𝤑𝤯񀀁𝤀𝣝񆿅𝤁𝣾񁦁𝣻𝤐	¿one quarter
𝠀񀀁񆿅񁦁𝠃𝤑𝤯񀀁𝤀𝣝񆿅𝤁𝣾񁦁𝣻𝤐	¿¼
𝠀񀀁񆿅񁦁𝠃𝤑𝤯񀀁𝤀𝣝񆿅𝤁𝣾񁦁𝣻𝤐	¿one four
𝠀񀀁񆿅񁦁𝠃𝤑𝤯񀀁𝤀𝣝񆿅𝤁𝣾񁦁𝣻𝤐	¿one-four
𝠀񀀁񈙁񆇡񍦁𝠃𝤟𝤷񍦁𝣴𝣵񆇡𝣷𝤕񀀁𝣶𝤘񈙁𝤏𝤙	¿tell him
𝠀񀀁񊒡񌀅𝠃𝤤𝤴񌀅𝣴𝣵񀀁𝣹𝤒񊒡𝤑𝤝	¿tell
𝠀񀀁񋗡񋾡𝠃𝤘𝥋񋾡𝣴𝣵񀀁𝣾𝤍񋗡𝣹𝤰	¿whom
𝠀񀀁񆫡񌂁𝠃𝤳𝤝񌂁𝣴𝣯񀀁𝤜𝣬񆫡𝤡𝣢	¿I understand
𝠀񀀁񆫡񌂁𝠃𝤳𝤝񌂁𝣴𝣯񀀁𝤜𝣬񆫡𝤡𝣢	¿understand
𝠀񀀁񆿅񁲁𝠃𝤒𝤰񀀁𝤀𝣜񆿅𝤁𝣿񁲁𝣻𝤑	¿one fifth
𝠀񀀁񆿅񁲁𝠃𝤒𝤰񀀁𝤀𝣜񆿅𝤁𝣿񁲁𝣻𝤑	¿1/5
𝠀񀀁񆿅񁲁𝠃𝤒𝤰񀀁𝤀𝣜񆿅𝤁𝣿񁲁𝣻𝤑	¿one-fifth
𝠀񀀁񈙄񀉁𝠃𝤧𝤩񀀁𝤘𝣤񀉁𝣦𝤏񈙄𝤀𝤃	¿he ask me
𝠀񀀁񈙄񀉁𝠃𝤧𝤩񀀁𝤘𝣤񀉁𝣦𝤏񈙄𝤀𝤃	¿she ask me
𝠀񀀁񊒣񌀅𝠃𝤘𝤲񌀅𝣴𝣵񀀁𝣺𝤔񊒣𝣠𝤑	¿tell
𝠀񀀁񋗥񆕁񎣡𝠃𝤛𝤣񀀁𝣦𝣼񎣡𝣱𝣩񆕁𝤂𝤗񋗥𝣺𝣸	¿alone
𝠀񀀁񆫡񌂁񌀈𝠃𝤱𝤝񌀈𝣴𝣺񀀁𝤚𝣮񆫡𝤟𝣤񌂁𝣴𝣯	¿I understand
𝠀񀀁񆿅񆇡񆇡񋾡𝠃𝤘𝥜񋾡𝣴𝣵񆇡𝤁𝤐񆇡𝣽𝥑񆿅𝣻𝤿񀀁𝣸𝤝	¿tell to me
𝠀񀀁񋛓𝠃𝤓𝤠񀀁𝣿𝣭񋛓𝣺𝤐	¿always
𝠀񀀁񆫡񌂃𝠃𝤱𝤞񌂃𝣴𝣮񀀁𝤚𝣮񆫡𝤟𝣤	¿don’t understand
𝠀񀀁񇉩񆇡񋲱񌒁񍩁𝠃𝤤𝤹񌒁𝣴𝣵񀀁𝣸𝤛񆇡𝤊𝤙񇉩𝤊𝤨񍩁𝣴𝣵񋲱𝤗𝤡	¿bitter
𝠀񀀁񇉩񆇡񋲱񌒁񍩁𝠃𝤤𝤹񌒁𝣴𝣵񀀁𝣸𝤛񆇡𝤊𝤙񇉩𝤊𝤨񍩁𝣴𝣵񋲱𝤗𝤡	¿Acrid
𝠀񀀁񇉩񆇡񋲱񌒁񍩁𝠃𝤤𝤹񌒁𝣴𝣵񀀁𝣸𝤛񆇡𝤊𝤙񇉩𝤊𝤨񍩁𝣴𝣵񋲱𝤗𝤡	¿sour
𝠀񀀁񈝡񌀅𝠃𝤠𝤵񈝡𝤐𝤣񌀅𝣴𝣵񀀁𝣺𝤖	¿tell
𝠀񀀁񊩁񅰡񉷩񌀅𝠃𝤸𝥅񊩁𝤊𝤠񌀅𝣴𝣵񆇡𝤁𝤙񀀁𝣹𝤧񅰡𝤟𝤐񉷩𝤣𝣱	¿ten years old
𝠀񀀁񊩁񅰡񉷩񌀅𝠃𝤸𝥅񊩁𝤊𝤠񌀅𝣴𝣵񆇡𝤁𝤙񀀁𝣹𝤧񅰡𝤟𝤐񉷩𝤣𝣱	¿age ten
𝠀񀀁񋜇񍘡𝠃𝤬𝤿񀀁𝣸𝤞񋜇𝤌𝤰񍘡𝣴𝣵	¿alone
𝠀񀀁񆫡񌄡񌏁𝠃𝤱𝤝񌏁𝣴𝣺񀀁𝤚𝣭񆫡𝤟𝣣񌄡𝣴𝣯	¿understand
𝠀񀀁񈢇𝠃𝤏𝤩񀀁𝣾𝣣񈢇𝤀𝤎	¿someone
𝠀񀀁񋜇񎣡𝠃𝥄𝤠񀀁𝤭𝣬񎣡𝣱𝣿񋜇𝤤𝤑	¿always
𝠀񀀁񋟇𝠃𝤓𝤟񀀁𝣿𝣮񋟇𝣺𝤐	¿someone
𝠀񀀁񋠧𝠃𝤖𝤢񀀁𝣶𝤄񋠧𝣶𝣫	¿always
𝠀񀀁񍘡񈗡𝠃𝤙𝤼񀀁𝣸𝤞񈗡𝤋𝤫񍘡𝣴𝣵	¿alone
𝠀񀀂񀀋񆕁񈟇𝠃𝤨𝤗񀀂𝣷𝣹񀀋𝣥𝣽񆕁𝤌𝣻񈟇𝤚𝣶	¿knife
𝠀񀀂񆇡񆡁񆡁񌀈𝠃𝤶𝤘񌀈𝣴𝣵񀀂𝤡𝣴񆇡𝤔𝣱񆡁𝤛𝣥񆡁𝤦𝣥	¿suspicious
𝠀񀀂񆇡񆡁񆡁񌀈𝠃𝤶𝤘񌀈𝣴𝣵񀀂𝤡𝣴񆇡𝤔𝣱񆡁𝤛𝣥񆡁𝤦𝣥	¿suspect
𝠀񀀂񆇡񆿅񁼣񁼫񈗥񈗵񆄡񆄧񌓡𝠃𝤹𝥝񌓡𝣴𝣵񀀂𝤙𝣿񆇡𝤖𝣲񁼣𝤏𝤤񁼫𝣬𝤣񈗥𝤕𝤸񈗵𝣳𝤸񆄡𝤕𝥎񆄧𝣳𝥍񆿅𝤬𝤖	¿mental health
𝠀񀀂񆇡񆿅񁼣񁼫񈗥񈗵񆄡񆄧񌓡𝠃𝤹𝥝񌓡𝣴𝣵񀀂𝤙𝣿񆇡𝤖𝣲񁼣𝤏𝤤񁼫𝣬𝤣񈗥𝤕𝤸񈗵𝣳𝤸񆄡𝤕𝥎񆄧𝣳𝥍񆿅𝤬𝤖	¿Crazy
𝠀񀀂񆇡񆿅񁼣񁼫񈗥񈗵񆄡񆄧񌓡𝠃𝤹𝥝񌓡𝣴𝣵񀀂𝤙𝣿񆇡𝤖𝣲񁼣𝤏𝤤񁼫𝣬𝤣񈗥𝤕𝤸񈗵𝣳𝤸񆄡𝤕𝥎񆄧𝣳𝥍񆿅𝤬𝤖	¿abnormal
𝠀񀀁񋟇񅯱񂌻񈙁𝠃𝤕𝥋񀀁𝣿𝣒񋟇𝣸𝣂񂌻𝣺𝤆񅯱𝣾𝤚񈙁𝣾𝤭	¿recluse
𝠀񀀂񆇡񋥁񋾡𝠃𝤻𝤲񋾡𝣴𝣵񆇡𝤁𝤄񀀂𝤋𝤎񋥁𝤦𝤛	¿pick nose
𝠀񀀁񋟇񌒁𝠃𝤵𝥀񌒁𝣴𝣵񀀁𝤞𝤌񋟇𝤜𝤱	¿something
𝠀񀀁񋩡񍩁𝠃𝤘𝥃񍩁𝣴𝣵񋩡𝣾𝤛񀀁𝣹𝤥	¿who
𝠀񀀂񀀊񉂚񉂢񋸥񍘡𝠃𝤻𝥇񍘡𝣴𝣵񉂢𝣘𝤏񀀂𝤏𝤝񋸥𝤂𝥁񉂚𝤥𝤑񀀊𝣬𝤟	¿success
𝠀񀀂񁲁񆇡񈙈𝠃𝤤𝤚񁲁𝣬𝣲񀀂𝣳𝣼񆇡𝣨𝤅񈙈𝤎𝣺	¿diamond
𝠀񀀂񆇡񋾡񇂅񆅩񆅡񋲱𝠃𝤰𝥮񆅩𝣿𝥟񆅡𝣿𝥍񆇡𝤀𝣺񀀂𝤛𝣽񋾡𝣴𝣵񇂅𝣽𝤝񋲱𝣯𝤨	¿faith
𝠀񀀁񋾡񆨡𝠃𝤭𝤘񋾡𝣴𝣵񀀁𝤛𝣨񆨡𝤥𝣝	¿realize
𝠀񀀂񀀊񉌏񉌗񉌏񉌗񋸡𝠃𝤤𝤧񀀂𝤏𝣥񀀊𝣨𝣥񉌏𝤊𝤋񉌏𝤋𝤙񉌗𝣯𝤌񉌗𝣱𝤛񋸡𝣾𝤀	¿injuries
𝠀񀀂񆇡񋾡񉍮񆅁񆅁񆇡𝠃𝤱𝥃񀀂𝤘𝣻񋾡𝣴𝣵񆇡𝤐𝣩񉍮𝤖𝤜񆅁𝤅𝤴񆅁𝣳𝤴񆇡𝣾𝤧	¿compromise
𝠀񀀁񋾡񋟇񃧡񈗡𝠃𝥓𝤤񋾡𝣴𝣵񀀁𝤝𝤆񋟇𝤝𝣵񃧡𝤷𝣕񈗡𝤽𝣄	¿forever
𝠀񀀁񋾡񋟇񃧡񈗡𝠃𝥓𝤤񋾡𝣴𝣵񀀁𝤝𝤆񋟇𝤝𝣵񃧡𝤷𝣕񈗡𝤽𝣄	¿eternal
𝠀񀀁񋾡񋟇񃧡񈗡𝠃𝥓𝤤񋾡𝣴𝣵񀀁𝤝𝤆񋟇𝤝𝣵񃧡𝤷𝣕񈗡𝤽𝣄	¿for ever
𝠀񀀂񀀊񉢪񉢲񆇡񆇡񋾡𝠃𝥃𝤴񉢪𝤞𝣰񉢲𝣊𝣱񀀂𝤒𝤕񀀊𝣧𝤖񋾡𝣴𝣵񆇡𝤊𝤙񆇡𝣺𝤙	¿notorious
𝠀񀀂񁲊񉌌񆇡𝠃𝤫𝤚񁲊𝣢𝣿񀀂𝤖𝣺񆇡𝣯𝣲񉌌𝣽𝣸	¿review
𝠀񀀂񆇡񌀅𝠃𝤚𝤲񆇡𝣸𝤙񌀅𝣴𝣵񀀂𝤅𝤔	¿chin
𝠀񀀁񌀅񈗡񆇡𝠃𝤟𝥁񌀅𝣴𝣵񀀁𝣷𝤣񈗡𝤈𝤥񆇡𝤕𝤚	¿miss
𝠀񀀂񆅡񆅩񋾡𝠃𝤛𝥃񋾡𝣴𝣵񀀂𝤆𝣽񆅩𝣿𝤴񆅡𝣿𝤤	¿faith
𝠀񀀂񀀊񊒦񊒵𝠃𝤦𝤧񀀂𝤑𝣥񀀊𝣧𝣲񊒦𝤕𝤅񊒵𝣭𝤏	¿come
𝠀񀀂񆇡񌀈񈗡񀀢𝠃𝤹𝤘񌀈𝣴𝣵񀀂𝤝𝣹񀀢𝤛𝣅񆇡𝤎𝣭񈗡𝤩𝣢	¿for
𝠀񀀁񌟡񍪡𝠃𝤘𝤫񌟡𝣴𝣵񍪡𝣴𝣵񀀁𝣸𝤍	¿shhh!
𝠀񀀁񌟡񍪡𝠃𝤘𝤫񌟡𝣴𝣵񍪡𝣴𝣵񀀁𝣸𝤍	¿shhhhhhh
𝠀񀀂񀀊񊓕񊓦񋸡𝠃𝤨𝤦񀀂𝤓𝣧񀀊𝣥𝣧񊓕𝤍𝤓񊓦𝣳𝤓񋸡𝤂𝤆	¿come
𝠀񀀂񆅩񆅡񇀥񋲱񋾡𝠃𝤛𝥤񆅩𝤀𝥕񆅡𝤀𝥄񇀥𝣾𝤛񋲱𝤀𝤹񋾡𝣴𝣵񀀂𝤆𝣾	¿faith
𝠀񀀂񆇡񍉡𝠃𝤨𝤷񍉡𝣴𝣵񆇡𝤙𝤍񀀂𝤓𝤙	¿nose
𝠀񀀂񆕁񆿅񌁥񌧁𝠃𝤡𝥍񌧁𝣴𝣺񀀂𝤌𝤎񆿅𝤏𝤾񌁥𝣴𝣯񆕁𝤐𝤯	¿witness
𝠀񀀂񋔦񋾡𝠃𝤨𝤵񋾡𝣴𝣵񀀂𝤓𝤗񋔦𝣺𝣹	¿face
𝠀񀀂񋣡񋾡񀉑񀉙񇉭񇉹񋸥񋾡𝠃𝤫𝥋񋾡𝣴𝣠񋣡𝣿𝣣񀀂𝤒𝣱񋾡𝣴𝤊񀉑𝤕𝤝񀉙𝣤𝤖񇉭𝤑𝤺񇉹𝣡𝤴񋸥𝣿𝥃	¿facial expression
𝠀񀀃񀀋񇈅񇈕񋲡񋲱񌒁𝠃𝤮𝥓񀀃𝤍𝤢񀀋𝣤𝤢񇈅𝤕𝤷񇈕𝣠𝤷񋲱𝣨𝥌񌒁𝣴𝣵񋲡𝤛𝥌	¿argue
𝠀񀀃񀀋񇈅񇈕񋲡񋲱񌒁𝠃𝤮𝥓񀀃𝤍𝤢񀀋𝣤𝤢񇈅𝤕𝤷񇈕𝣠𝤷񋲱𝣨𝥌񌒁𝣴𝣵񋲡𝤛𝥌	¿Fight
𝠀񀀃񀀋񇈅񇈕񋲡񋲱񌒁𝠃𝤮𝥓񀀃𝤍𝤢񀀋𝣤𝤢񇈅𝤕𝤷񇈕𝣠𝤷񋲱𝣨𝥌񌒁𝣴𝣵񋲡𝤛𝥌	¿Quarrel
𝠀񀀃񀀋񇈅񇈕񋲡񋲱񌒁𝠃𝤮𝥓񀀃𝤍𝤢񀀋𝣤𝤢񇈅𝤕𝤷񇈕𝣠𝤷񋲱𝣨𝥌񌒁𝣴𝣵񋲡𝤛𝥌	¿squabble
𝠀񀀃񀀋񈟃񈟗񋸥𝠃𝤪𝤜񀀃𝤌𝣰񀀋𝣢𝣰񈟃𝤍𝣽񈟗𝣳𝣽񋸥𝤁𝤖	¿ache
𝠀񀀃񀀋񈟃񈟗񋸥𝠃𝤪𝤜񀀃𝤌𝣰񀀋𝣢𝣰񈟃𝤍𝣽񈟗𝣳𝣽񋸥𝤁𝤖	¿pain
𝠀񀀂񆙡񋁉񌞁𝠃𝤷𝤝񌞁𝣴𝣵񀀂𝤑𝣿񋁉𝤚𝣸񆙡𝤒𝣬	¿eyelid
𝠀񀀂񋔨񋾡𝠃𝤫𝤯񋾡𝣴𝣵񀀂𝤖𝤑񋔨𝣻𝤉	¿mouth
𝠀񀀂񋾡𝠃𝤟𝤪񀀂𝤊𝤌񋾡𝣴𝣵	¿appearance
𝠀񀀃񀀋񈗧񈗳񂈁񂈉񆿅񆿕𝠃𝥀𝤭񀀃𝤏𝣠񀀋𝣢𝣠񆿕𝣰𝤞񈗧𝤱𝣡񈗳𝣍𝣡񂈁𝤕𝣽񂈉𝣰𝣾񆿅𝤕𝤝	¿enemy
𝠀񀀃񀀋񈟃񈟗񋸥𝠃𝤬𝤣񀀃𝤎𝣪񀀋𝣠𝣪񈟃𝤚𝣾񈟗𝣥𝣾񋸥𝣾𝤝	¿hurt
